_user_id,name,reputation
user_854,Sean C.,131
user_856,Village,611
user_857,Jack Aidley,4457
user_858,ratchet freak,2992
user_859,Sefy Friedman,1
user_860,Smallhacker,356
user_861,Nathan,101
user_862,Tonny,1505
user_863,OnoSendai,4305
user_864,CallousFury,1
user_865,nvoigt,223
user_866,user8674,1
user_867,Lakitu,101
user_868,kittenchops,1
user_869,rikkit,101
user_870,Kami,253
user_871,RemcoGerlich,437
user_872,Baard Kopperud,321
user_873,user873,101
user_874,Hilton Perantunes,101
user_875,AmagicalFishy,101
user_876,darveter,1
user_877,Itschotsch,1
user_878,CodesInChaos,105
user_879,Mike Nichols,8789
user_880,Phantom,121
user_881,Trillian,1
user_882,0112,103
user_883,Sean Duggan,406
user_884,jm.,139
user_885,JDługosz,59798
user_886,Thijser,251
user_887,Mrelegos,21
user_889,Pachysandra,1
user_890,Alex Johnson,1
user_891,supercat,369
user_892,gloomy.penguin,282
user_893,php-dev,101
user_894,Amelio Vazquez-Reina,149
user_895,AppleFix88,101
user_896,Yatharth Agarwal,101
user_897,Caleb Hines,2368
user_898,EdHunter,31
user_899,Luaan,3040
user_900,Zubair,101
user_902,Levans,293
user_904,Michael Green,105
user_905,Aaron J Lang,101
user_906,Layman,1
user_907,rumtscho,271
user_908,danijar,101
user_909,HansLindgren,101
user_910,Petr Pudlák,136
user_911,Wheatley,1
user_912,Raidri,101
user_913,Justin Greer,101
user_914,bob_1234,1
user_915,Yellow,142
user_916,think01,121
user_917,superluminary,4581
user_918,JMK,101
user_919,oliver-clare,844
user_920,oconnor0,101
user_921,Eric J.,101
user_922,Mike Caron,101
user_923,CDspace,141
user_925,ggb667,101
user_926,Lindsey D,131
user_927,user42551,191
user_928,Silviu Burcea,101
user_929,RBerteig,101
user_930,ethguo,1
user_932,Jason J,1
user_933,paul,201
user_934,Ben,101
user_935,Vi.,111
user_936,golfer9338,101
user_937,dss539,101
user_938,user2230101,1
user_939,kutschkem,523
user_940,Zero point,76
user_941,jkneip,1
user_942,gla3dr,101
user_943,Zer0ah,176
user_944,Tigt,417
user_945,dwilbank,111
user_1944,ankh-morpork,191
user_1945,THE AMAZING,111
user_1947,Doorknob,103
user_1948,zxq9,1953
user_1949,Eric Moore,51
user_1950,dramzy,103
user_1951,Steven Huang,101
user_1952,Mare Infinitus,101
user_1953,dgarwood,1
user_1954,Shadur,304
user_1955,Dubyago,1
user_1956,astaines,127
user_1958,Njoqi,33
user_1959,AndrejaKo,462
user_1960,Peter Mortensen,229
user_1961,Andreas J,101
user_1962,CopperKettle,103
user_1963,fxam,101
user_1964,Kroltan,111
user_1965,T.J. Crowder,113
user_1966,Cha Cha Wheeee,1
user_1967,Don Wakefield,111
user_1968,Hannes R.,101
user_1969,Ajasja,101
user_1970,martin_joerg,101
user_1971,ApproachingDarknessFish,3193
user_1972,Slaiyer,1
user_1973,Frikster,101
user_1974,Johnny,874
user_1976,Saint Aardvark the Carpeted,101
user_1977,Mehrdad,116
user_1978,mmmanishs,111
user_1979,Benjamin Johnston,1
user_1980,Variant,101
user_1981,algiogia,560
user_1982,wim,101
user_1983,Matdecro,1
user_1984,Florent Bayle,101
user_1985,pjc50,4168
user_1986,NoMercyIncluded,1
user_1988,PaulD,101
user_1989,Scott Downey,3053
user_1990,sum1stolemyname,163
user_1991,Anixx,2255
user_1992,Victor Jalencas,121
user_1993,durron597,261
user_1994,coburne,137
user_1995,Cephalopod,211
user_1996,Baldrickk,313
user_1997,Michael McGriff,111
user_1998,cHao,101
user_1999,Hagen von Eitzen,271
user_2000,JBeagle,121
user_2001,anon,101
user_2002,PatrickT,101
user_2003,Legendre17,101
user_2004,Paul Z,101
user_2005,gomad,101
user_2006,user3852812,1
user_2007,DuckTapeAl,103
user_2008,TTorler,1
user_2009,bryanjonker,131
user_2010,Tshepang,535
user_2011,jbjw,101
user_2012,Dan Esparza,101
user_2013,Tony Ennis,1465
user_2014,Steven Penny,1
user_2015,WernerCD,979
user_2016,Daniel Silva,1
user_2017,stonemetal,348
user_2019,nitronorm,1
user_2020,Matthew Lock,101
user_2021,Michael Bickley,699
user_2022,Tim Parenti,101
user_2023,Macky,21
user_2024,David Richerby,2400
user_2025,wip,131
user_2026,Violet Giraffe,101
user_2027,Thomas Junk,101
user_2028,Journeyman Geek,5889
user_2029,gbjbaanb,1520
user_2030,AKHolland,101
user_2031,user3596375,1
user_2032,Vikarti Anatra,145
user_2033,coffeefueled,1
user_2034,jammypeach,171
user_2035,Tobias Wärre,261
user_2036,sharoz,101
user_2037,daniel42,1
user_2038,schlenk,1
user_2039,Phaeze,101
user_2040,ethan,1
user_2041,ResonantPictures,1
user_2042,The Glis Jackel,471
user_2043,Moby Disk,103
user_2044,gerrit,2229
user_2046,BlueRaja - Danny Pflughoeft,177
user_2047,Tory,101
