user_id,post_id
user_4677,7302
user_2685,7305
user_5304,7316
user_298,7320
user_5260,7324
user_5260,7337
user_19,7340
user_179,7341
user_3082,7343
user_3112,7348
user_5289,7350
user_75,7351
user_2252,7352
user_3082,7354
user_2138,7359
user_3510,7361
user_3510,7364
user_5302,8368
user_6320,8380
user_1989,8383
user_6330,8404
user_4877,8408
user_687,8412
user_3180,8417
user_687,8425
user_5302,8427
user_3510,8430
user_3510,8431
user_75,8432
user_3510,8435
user_3002,8438
user_2947,8450
user_689,8461
user_627,8466
user_236,8477
user_3510,8479
user_6371,8480
user_3131,8485
user_2113,8487
user_3112,8489
user_2947,8493
user_6395,8533
user_3545,8541
user_98,8550
user_28,8556
user_2915,8558
user_6410,8562
user_6421,8569
user_49,8581
user_3434,8582
user_6415,8587
user_49,8592
user_19,8600
user_246,8605
user_3382,8609
user_627,8611
user_3510,8613
user_2314,8614
user_2947,8615
user_2087,8625
user_627,8635
user_2252,8642
user_3276,8651
user_5216,8652
user_3082,8657
user_2947,8658
user_2252,8661
user_6464,8698
user_189,8701
user_3510,8702
user_6395,8708
user_107,8711
user_683,8713
user_3510,8716
user_6472,8717
user_50,8723
user_6475,8728
user_107,8729
user_50,8730
user_2314,8737
user_6481,8747
user_6498,8758
user_2974,8764
user_6500,8766
user_6472,8772
user_19,8773
user_3202,8774
user_3545,8793
user_2567,8795
user_6515,8800
user_2685,8806
user_557,8807
user_107,8812
user_3238,8813
user_2252,8827
user_6472,8830
user_5187,8831
user_687,8832
user_2884,8833
user_3202,8837
user_3434,8848
user_5002,8853
user_3510,8866
user_3278,8871
user_29,8900
user_6421,8906
user_3434,8908
user_4790,8912
user_3510,8915
user_2252,8924
user_3510,8925
user_90,8927
user_3545,8934
user_6498,8942
user_845,8946
user_6575,8950
user_3281,8954
user_3510,8958
user_6561,8962
user_263,8964
user_3510,8965
user_2974,8969
user_75,8970
user_3545,8979
user_320,8993
user_6613,9004
user_189,9009
user_6620,9013
user_2974,9014
user_6451,9015
user_3510,9022
user_813,9032
user_2087,9034
user_3097,9035
user_2071,9038
user_2685,9042
user_2947,9046
user_6642,9060
user_2390,9062
user_566,9064
user_349,9067
user_75,9075
user_3510,9114
user_6421,9117
user_2252,9119
user_3510,9120
user_19,9121
user_6688,9128
user_2035,9132
user_5213,9141
user_6690,9142
user_733,9143
user_1991,9154
user_5155,9183
user_3510,9209
user_627,9214
user_3112,9215
user_2071,9216
user_2947,9218
user_2087,9219
user_2926,9237
user_6742,9247
user_278,9248
user_6724,9252
user_90,9255
user_3434,9256
user_6327,9281
user_6421,9300
user_2926,9301
user_2926,9304
user_3510,9305
user_3510,9307
user_3112,9310
user_6402,9312
user_6724,9318
user_6724,9322
user_2332,9325
user_5002,9336
user_29,9337
user_170,9346
user_2926,9352
user_6421,9359
user_328,9364
user_809,9365
user_3510,9368
user_566,9371
user_2926,9372
user_6690,9380
user_5002,9381
user_6800,9383
user_2947,9384
user_5002,9385
user_1971,9404
user_75,9410
user_3510,9412
user_2390,9417
user_6421,9423
user_6454,9437
user_3202,9438
user_19,9441
user_2947,9442
user_2947,9448
user_2926,9449
user_5002,9450
user_6838,9453
user_2947,9466
user_2155,9471
user_3082,9472
user_489,9477
user_3510,9490
user_2252,9492
user_6843,9493
user_3510,9498
user_3112,9501
user_3510,9505
user_6429,9507
user_5002,9514
user_6421,9517
user_5002,9520
user_6429,9529
user_49,9531
user_19,9532
user_19,9540
user_3202,9542
user_6454,9549
user_3202,9550
user_3112,9551
user_2947,9554
user_288,9558
user_6595,9566
user_6724,9568
user_6801,9571
user_757,9573
user_224,9582
user_2024,9583
user_2685,9586
user_3510,9589
user_2087,9597
user_2947,9601
user_6894,9603
user_6923,9611
user_2947,9615
user_75,9620
user_3332,9635
user_2556,9641
user_6429,9642
user_189,9658
user_2252,9659
user_3151,9679
user_6429,9680
user_3202,9681
user_2252,9685
user_2252,9686
user_49,9702
user_6966,9704
user_19,9705
user_3278,9707
user_19,9708
user_6813,9714
user_189,9717
user_19,9722
user_6972,9727
user_760,9754
user_6986,9758
user_3407,9765
user_3510,9774
user_2252,9779
user_760,9782
user_49,9800
user_7010,9810
user_3316,9822
user_3202,9829
user_6451,9843
user_7033,9853
user_147,9856
user_627,9857
user_627,9858
user_3434,9859
user_6429,9860
user_6429,9862
user_7038,9865
user_3510,9875
user_2947,9881
